FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
36001,New York,Albany,7276.0,3.7,5.2,12.0,61.0,96.0,5.0,3.3,4.6,15.0,81193.0,78.5,30.0,7.0,4.0,89.0,34.0,13.0,9.6,316659.0
36003,New York,Allegany,8271.0,4.4,6.0,16.0,73.0,35.0,5.0,4.3,4.4,17.0,57488.0,76.8,19.0,12.0,,91.0,34.0,17.0,88.5,46651.0
36005,New York,Bronx,9451.0,5.1,5.6,28.0,74.0,58.0,7.0,6.8,7.3,36.0,46894.0,76.7,53.0,6.0,8.0,78.0,37.0,16.0,0.0,1356476.0
36007,New York,Broome,9128.0,4.2,6.1,15.0,79.0,79.0,5.0,3.9,5.1,20.0,63590.0,76.5,46.0,5.0,2.0,84.0,33.0,16.0,24.9,196077.0
36009,New York,Cattaraugus,10681.0,4.5,6.0,17.0,75.0,43.0,7.0,4.3,4.8,26.0,55944.0,74.5,31.0,9.0,,89.0,37.0,19.0,61.8,75600.0
36011,New York,Cayuga,7892.0,4.4,6.1,18.0,67.0,29.0,6.0,3.6,4.6,18.0,66431.0,77.6,33.0,6.0,,84.0,41.0,18.0,58.8,74485.0
36013,New York,Chautauqua,9667.0,4.4,5.7,18.0,86.0,63.0,6.0,4.3,4.8,23.0,56040.0,75.7,45.0,8.0,2.0,86.0,35.0,18.0,44.1,124891.0
36015,New York,Chemung,9852.0,4.3,5.5,17.0,95.0,78.0,5.0,4.0,4.6,22.0,60456.0,75.0,40.0,8.0,4.0,83.0,34.0,16.0,25.9,81325.0
36017,New York,Chenango,10172.0,4.4,5.8,17.0,84.0,30.0,5.0,3.5,4.2,19.0,57407.0,74.9,42.0,11.0,,87.0,38.0,19.0,83.4,45920.0
36019,New York,Clinton,7270.0,4.0,5.9,17.0,64.0,80.0,5.0,3.5,4.9,16.0,64282.0,77.8,24.0,5.0,,87.0,42.0,19.0,63.7,78115.0
36021,New York,Columbia,7810.0,3.8,5.6,14.0,68.0,40.0,6.0,3.0,4.9,18.0,73112.0,79.2,24.0,7.0,,89.0,33.0,15.0,82.8,60470.0
36023,New York,Cortland,8256.0,4.1,5.9,16.0,61.0,37.0,5.0,4.2,4.3,17.0,63890.0,76.2,29.0,,,89.0,34.0,17.0,46.9,45752.0
36025,New York,Delaware,8915.0,4.5,5.8,15.0,85.0,38.0,6.0,4.0,4.8,22.0,56163.0,76.7,30.0,13.0,,90.0,36.0,16.0,90.5,44410.0
36027,New York,Dutchess,6546.0,3.9,5.5,13.0,78.0,71.0,5.0,3.3,4.6,9.0,96374.0,79.3,40.0,7.0,2.0,88.0,34.0,12.0,31.7,297150.0
36029,New York,Erie,8238.0,4.1,5.6,15.0,75.0,73.0,4.0,3.8,5.0,18.0,70443.0,77.0,34.0,9.0,7.0,89.0,33.0,16.0,10.3,946147.0
36031,New York,Essex,7206.0,4.1,5.6,15.0,71.0,51.0,5.0,3.8,4.4,17.0,70902.0,78.4,25.0,6.0,,,36.0,18.0,86.5,36775.0
36033,New York,Franklin,7951.0,4.6,6.1,18.0,61.0,53.0,6.0,3.8,4.5,19.0,63624.0,77.3,19.0,7.0,,88.0,37.0,18.0,70.2,46502.0
36035,New York,Fulton,9922.0,4.2,5.5,19.0,71.0,32.0,6.0,4.4,4.3,20.0,63409.0,75.0,30.0,9.0,3.0,81.0,36.0,21.0,50.7,52234.0
36037,New York,Genesee,7591.0,4.1,5.6,16.0,81.0,31.0,4.0,3.3,4.0,14.0,71749.0,77.4,26.0,5.0,,95.0,35.0,17.0,62.1,57529.0
36039,New York,Greene,8286.0,4.1,5.6,15.0,83.0,29.0,5.0,3.8,5.1,19.0,70789.0,77.6,37.0,7.0,,84.0,32.0,15.0,73.2,47062.0
36041,New York,Hamilton,,4.2,5.8,17.0,81.0,39.0,9.0,5.0,3.9,14.0,68529.0,78.4,,,,,37.0,18.0,100.0,5082.0
36043,New York,Herkimer,7795.0,4.1,5.4,15.0,63.0,27.0,5.0,4.1,4.4,17.0,63771.0,77.6,22.0,7.0,,87.0,38.0,17.0,52.6,59484.0
36045,New York,Jefferson,7378.0,4.0,5.2,17.0,66.0,51.0,5.0,4.4,4.0,19.0,61664.0,77.3,25.0,6.0,2.0,88.0,37.0,18.0,49.4,114787.0
36047,New York,Kings,6345.0,4.2,5.2,17.0,44.0,63.0,6.0,5.5,6.8,27.0,76353.0,80.1,24.0,4.0,5.0,81.0,27.0,12.0,0.0,2561225.0
36049,New York,Lewis,7011.0,4.2,5.3,16.0,77.0,68.0,5.0,4.4,4.0,15.0,64941.0,78.9,13.0,8.0,,88.0,36.0,18.0,100.0,26548.0
36051,New York,Livingston,5954.0,4.1,5.5,15.0,67.0,45.0,4.0,3.5,4.1,12.0,70185.0,79.4,22.0,8.0,,92.0,32.0,16.0,71.4,61158.0
36053,New York,Madison,6940.0,4.0,5.8,14.0,68.0,74.0,4.0,3.7,4.5,13.0,73680.0,78.4,24.0,7.0,,89.0,34.0,16.0,69.2,66921.0
36055,New York,Monroe,7510.0,3.5,5.5,12.0,89.0,107.0,4.0,3.7,4.9,18.0,73263.0,78.2,36.0,9.0,7.0,88.0,36.0,12.0,8.1,748482.0
36057,New York,Montgomery,9219.0,4.6,5.6,19.0,67.0,52.0,5.0,4.6,4.8,23.0,61463.0,75.2,21.0,7.0,,87.0,36.0,19.0,45.4,49368.0
36059,New York,Nassau,4800.0,3.6,4.7,12.0,46.0,136.0,4.0,3.1,,6.0,140466.0,81.3,19.0,2.0,2.0,94.0,27.0,9.0,0.4,1381715.0
36061,New York,New York,4960.0,3.8,5.1,15.0,52.0,137.0,5.0,4.6,,20.0,100869.0,83.0,29.0,2.0,3.0,82.0,21.0,11.0,0.0,1597451.0
36063,New York,Niagara,9535.0,4.0,5.7,15.0,84.0,38.0,4.0,4.1,4.8,20.0,65932.0,75.4,40.0,9.0,5.0,84.0,35.0,15.0,30.0,209457.0
36065,New York,Oneida,8898.0,4.0,5.5,16.0,82.0,70.0,5.0,3.7,4.6,20.0,61566.0,76.3,35.0,8.0,4.0,86.0,38.0,15.0,34.4,227555.0
36067,New York,Onondaga,7762.0,4.0,5.9,16.0,81.0,92.0,4.0,3.5,5.0,19.0,74388.0,77.7,38.0,8.0,6.0,88.0,35.0,16.0,14.6,467873.0
36069,New York,Ontario,6296.0,3.7,5.6,14.0,63.0,83.0,4.0,3.3,4.0,10.0,79364.0,79.8,16.0,6.0,,93.0,34.0,14.0,44.9,112494.0
36071,New York,Orange,6631.0,3.9,5.1,14.0,66.0,67.0,5.0,3.4,4.8,19.0,93492.0,78.8,34.0,6.0,2.0,89.0,37.0,12.0,27.6,407470.0
36073,New York,Orleans,7355.0,4.4,6.0,15.0,61.0,7.0,6.0,4.0,4.4,15.0,65156.0,76.9,13.0,6.0,,93.0,36.0,16.0,66.5,39124.0
36075,New York,Oswego,9165.0,4.1,5.9,17.0,74.0,40.0,5.0,4.3,4.6,19.0,68613.0,76.2,33.0,5.0,2.0,86.0,39.0,17.0,62.7,118162.0
