FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
01073,Alabama,Jefferson,13164.0,4.1,5.5,20.0,122.0,111.0,10.0,2.5,5.5,22.0,64726.0,72.4,50.0,35.0,26.0,89.0,40.0,15.0,12.1,662895.0
01075,Alabama,Lamar,12036.0,5.0,6.6,22.0,96.0,,11.0,2.8,5.1,23.0,50929.0,72.4,,,,88.0,38.0,19.0,100.0,13661.0
01077,Alabama,Lauderdale,9937.0,4.6,6.0,19.0,82.0,54.0,11.0,2.5,4.8,17.0,63895.0,74.9,19.0,14.0,6.0,94.0,37.0,16.0,52.2,96814.0
01079,Alabama,Lawrence,13633.0,5.0,6.4,24.0,101.0,18.0,12.0,2.3,4.3,19.0,61064.0,71.1,,24.0,9.0,94.0,41.0,21.0,100.0,33502.0
01081,Alabama,Lee,7894.0,4.1,5.8,20.0,65.0,50.0,10.0,2.3,6.4,15.0,62301.0,77.1,12.0,18.0,9.0,90.0,35.0,16.0,26.4,183215.0
01083,Alabama,Limestone,8777.0,4.2,5.5,18.0,65.0,34.0,9.0,2.1,4.4,11.0,81811.0,76.1,7.0,17.0,6.0,88.0,36.0,16.0,51.0,114654.0
01085,Alabama,Lowndes,19891.0,5.4,6.3,30.0,130.0,10.0,9.0,4.6,6.4,42.0,42011.0,67.6,,61.0,46.0,78.0,50.0,22.0,100.0,9717.0
01087,Alabama,Macon,15397.0,5.0,6.3,28.0,113.0,32.0,10.0,3.2,5.4,41.0,40710.0,71.4,,47.0,45.0,83.0,48.0,19.0,53.9,18370.0
01089,Alabama,Madison,9054.0,3.9,5.5,17.0,76.0,86.0,8.0,2.0,4.9,14.0,86172.0,76.5,29.0,18.0,8.0,93.0,36.0,14.0,17.1,412600.0
01091,Alabama,Marengo,14679.0,4.8,6.1,26.0,107.0,42.0,10.0,3.3,6.6,33.0,47228.0,70.8,,25.0,16.0,88.0,46.0,20.0,67.8,18684.0
01093,Alabama,Marion,12544.0,5.1,6.3,23.0,77.0,24.0,11.0,2.9,4.9,24.0,48829.0,72.4,,20.0,,91.0,40.0,19.0,100.0,29244.0
01095,Alabama,Marshall,12809.0,4.9,6.1,21.0,94.0,55.0,12.0,2.1,4.7,22.0,59882.0,71.9,26.0,16.0,5.0,91.0,39.0,17.0,53.7,100756.0
01097,Alabama,Mobile,12656.0,4.5,5.9,25.0,94.0,71.0,12.0,3.1,5.1,25.0,55538.0,72.6,27.0,26.0,18.0,83.0,42.0,19.0,22.4,411640.0
01099,Alabama,Monroe,15785.0,5.2,6.5,26.0,96.0,46.0,11.0,4.3,5.6,28.0,49314.0,70.8,18.0,21.0,17.0,83.0,43.0,21.0,78.3,19229.0
01101,Alabama,Montgomery,13219.0,4.5,5.8,25.0,87.0,97.0,11.0,2.8,5.1,26.0,60063.0,72.7,17.0,35.0,26.0,69.0,45.0,18.0,12.4,224980.0
01103,Alabama,Morgan,12502.0,4.5,6.2,22.0,98.0,51.0,12.0,2.0,4.8,17.0,70387.0,72.8,27.0,25.0,11.0,91.0,39.0,18.0,38.4,125133.0
01105,Alabama,Perry,17917.0,5.8,6.7,33.0,95.0,36.0,10.0,5.0,3.3,50.0,34176.0,68.8,,23.0,,93.0,50.0,24.0,100.0,7738.0
01107,Alabama,Pickens,13197.0,5.1,6.0,26.0,104.0,37.0,10.0,3.0,5.3,30.0,47372.0,71.5,19.0,13.0,,93.0,44.0,20.0,100.0,18688.0
01109,Alabama,Pike,13497.0,4.9,6.3,22.0,73.0,42.0,11.0,2.7,6.0,33.0,50675.0,71.6,,24.0,14.0,90.0,41.0,16.0,56.2,33137.0
01111,Alabama,Randolph,11834.0,5.0,6.4,24.0,100.0,27.0,13.0,2.4,5.6,25.0,57148.0,73.1,15.0,23.0,6.0,90.0,41.0,20.0,100.0,22786.0
01113,Alabama,Russell,14160.0,4.9,6.2,26.0,127.0,17.0,12.0,2.8,4.9,27.0,52312.0,71.0,29.0,35.0,20.0,93.0,47.0,20.0,40.4,58744.0
01115,Alabama,St. Clair,11878.0,4.6,6.2,18.0,106.0,18.0,10.0,2.1,3.8,14.0,78349.0,72.8,42.0,20.0,6.0,86.0,33.0,15.0,67.1,95552.0
01117,Alabama,Shelby,6795.0,3.6,5.5,15.0,64.0,77.0,8.0,1.8,3.9,9.0,90280.0,79.4,25.0,13.0,4.0,95.0,32.0,11.0,24.0,233000.0
01119,Alabama,Sumter,15670.0,5.1,6.2,30.0,122.0,58.0,9.0,3.7,4.4,45.0,37021.0,71.3,,36.0,21.0,73.0,45.0,21.0,100.0,11727.0
01121,Alabama,Talladega,15316.0,5.1,6.0,24.0,103.0,26.0,10.0,2.8,5.5,23.0,59491.0,70.5,15.0,32.0,17.0,92.0,43.0,19.0,58.7,81132.0
01123,Alabama,Tallapoosa,12183.0,4.9,6.3,23.0,94.0,46.0,12.0,2.5,4.9,23.0,60583.0,72.8,12.0,23.0,9.0,88.0,42.0,18.0,78.4,40677.0
01125,Alabama,Tuscaloosa,10422.0,4.5,6.5,21.0,72.0,63.0,9.0,2.3,5.3,24.0,61117.0,74.5,21.0,17.0,9.0,85.0,41.0,18.0,31.1,237373.0
01127,Alabama,Walker,18377.0,5.0,6.5,25.0,124.0,46.0,12.0,2.6,5.4,23.0,57950.0,67.8,51.0,23.0,9.0,86.0,43.0,22.0,79.7,64728.0
01129,Alabama,Washington,12864.0,5.1,6.4,25.0,99.0,7.0,10.0,2.6,8.3,26.0,57311.0,72.6,,23.0,13.0,92.0,42.0,21.0,100.0,15022.0
01131,Alabama,Wilcox,19439.0,5.7,6.7,34.0,153.0,10.0,12.0,8.0,6.8,49.0,34426.0,68.7,,64.0,40.0,78.0,49.0,25.0,100.0,9944.0
01133,Alabama,Winston,12031.0,5.1,6.5,21.0,104.0,38.0,12.0,2.7,4.6,24.0,52280.0,72.7,23.0,27.0,8.0,93.0,36.0,18.0,100.0,23611.0
06001,California,Alameda,5217.0,3.8,5.3,15.0,52.0,112.0,4.0,4.1,,9.0,119230.0,82.0,20.0,9.0,7.0,89.0,19.0,10.0,0.5,1622188.0
06003,California,Alpine,,4.4,5.9,15.0,312.0,0.0,6.0,6.5,4.2,27.0,83265.0,,,,,,30.0,13.0,100.0,1141.0
06005,California,Amador,7567.0,4.4,5.7,16.0,107.0,46.0,6.0,5.1,4.1,14.0,80767.0,78.5,20.0,21.0,7.0,92.0,27.0,13.0,69.2,41811.0
06007,California,Butte,9316.0,4.9,6.2,18.0,114.0,59.0,8.0,5.2,5.4,21.0,63084.0,75.7,48.0,12.0,4.0,88.0,32.0,14.0,21.0,207172.0
06009,California,Calaveras,7926.0,4.8,6.0,17.0,100.0,39.0,7.0,4.2,4.7,16.0,77041.0,78.8,20.0,16.0,4.0,95.0,29.0,15.0,82.0,46565.0
06011,California,Colusa,6184.0,5.2,6.0,24.0,74.0,27.0,10.0,13.0,4.9,14.0,66675.0,79.2,17.0,,,90.0,32.0,15.0,42.7,22037.0
06013,California,Contra Costa,5577.0,3.9,5.1,16.0,56.0,101.0,5.0,4.1,4.7,10.0,122000.0,81.2,22.0,8.0,6.0,91.0,28.0,11.0,1.0,1155025.0
06015,California,Del Norte,11533.0,5.1,6.2,24.0,128.0,60.0,8.0,5.7,5.0,21.0,70231.0,73.8,57.0,18.0,10.0,87.0,34.0,19.0,43.7,26589.0
06017,California,El Dorado,6327.0,3.8,5.2,13.0,75.0,76.0,5.0,4.0,4.8,8.0,107063.0,80.6,23.0,9.0,2.0,94.0,25.0,11.0,36.7,192215.0
06019,California,Fresno,9008.0,5.0,6.0,24.0,72.0,68.0,8.0,7.5,5.1,23.0,71271.0,75.9,20.0,12.0,9.0,82.0,39.0,14.0,11.3,1017162.0
06021,California,Glenn,9723.0,5.2,6.1,23.0,96.0,17.0,9.0,6.3,3.9,15.0,64197.0,75.4,41.0,13.0,8.0,86.0,34.0,16.0,41.2,28129.0
06023,California,Humboldt,9668.0,4.9,6.3,20.0,114.0,61.0,7.0,4.6,5.2,19.0,61307.0,75.8,47.0,16.0,8.0,92.0,33.0,17.0,31.5,133985.0
06025,California,Imperial,8703.0,5.7,5.9,29.0,61.0,25.0,9.0,17.3,5.5,22.0,58768.0,76.2,21.0,7.0,5.0,86.0,39.0,14.0,18.4,179057.0
06027,California,Inyo,10431.0,4.6,5.7,17.0,99.0,69.0,7.0,3.8,4.8,14.0,71656.0,76.6,50.0,12.0,,91.0,30.0,14.0,42.1,18527.0
06029,California,Kern,10697.0,5.0,5.7,26.0,99.0,48.0,8.0,8.3,4.9,25.0,68436.0,74.2,49.0,16.0,12.0,85.0,36.0,17.0,13.4,913820.0
06031,California,Kings,8188.0,5.2,6.0,26.0,63.0,37.0,7.0,8.2,4.1,20.0,65768.0,76.6,18.0,8.0,7.0,70.0,32.0,16.0,10.9,152682.0
06033,California,Lake,12237.0,5.0,6.1,19.0,179.0,42.0,8.0,5.8,5.4,22.0,57945.0,74.1,86.0,17.0,9.0,84.0,31.0,14.0,40.8,67878.0
06035,California,Lassen,11258.0,5.1,6.2,21.0,132.0,27.0,6.0,5.2,4.4,17.0,77743.0,74.9,39.0,19.0,9.0,88.0,33.0,17.0,72.5,28861.0
06037,California,Los Angeles,6746.0,4.6,5.6,19.0,53.0,75.0,9.0,5.0,5.3,18.0,86499.0,79.4,23.0,8.0,6.0,86.0,26.0,11.0,0.9,9663345.0
06039,California,Madera,8648.0,5.6,6.2,25.0,74.0,47.0,10.0,7.5,4.7,24.0,66084.0,76.5,18.0,10.0,7.0,88.0,35.0,15.0,38.6,162858.0
06041,California,Marin,4149.0,3.8,5.0,11.0,63.0,149.0,5.0,3.3,,8.0,139197.0,84.3,24.0,5.0,2.0,90.0,24.0,8.0,6.0,254407.0
06043,California,Mariposa,9759.0,4.6,6.0,20.0,114.0,23.0,7.0,5.1,5.1,22.0,64352.0,78.3,31.0,19.0,,88.0,32.0,17.0,100.0,16919.0
06045,California,Mendocino,10093.0,4.8,6.2,20.0,137.0,78.0,10.0,4.7,5.1,19.0,65891.0,76.8,67.0,14.0,7.0,83.0,29.0,15.0,48.5,89108.0
06047,California,Merced,8849.0,5.4,5.9,29.0,70.0,42.0,9.0,9.0,4.6,23.0,58962.0,76.2,21.0,11.0,7.0,92.0,35.0,18.0,16.8,291920.0
06049,California,Modoc,13302.0,4.9,6.2,18.0,138.0,46.0,8.0,6.3,3.9,28.0,51996.0,74.6,,,,87.0,30.0,14.0,100.0,8500.0
06051,California,Mono,4739.0,4.3,5.7,16.0,71.0,83.0,10.0,3.8,3.6,11.0,82973.0,93.6,,,,49.0,29.0,13.0,46.6,13066.0
06053,California,Monterey,6114.0,4.9,5.8,23.0,62.0,65.0,12.0,7.0,4.3,20.0,86809.0,80.8,22.0,8.0,7.0,89.0,33.0,14.0,14.3,430723.0
06055,California,Napa,5210.0,4.1,5.3,19.0,62.0,98.0,7.0,3.5,4.6,9.0,100469.0,81.2,19.0,7.0,2.0,93.0,29.0,13.0,14.7,133216.0
06057,California,Nevada,7472.0,4.2,5.7,17.0,94.0,72.0,6.0,3.9,5.3,13.0,87142.0,80.0,37.0,12.0,3.0,81.0,30.0,16.0,48.2,102037.0
06059,California,Orange,5325.0,4.0,4.9,16.0,51.0,100.0,7.0,3.6,4.7,11.0,109768.0,81.3,25.0,5.0,2.0,92.0,26.0,11.0,0.2,3135755.0
06061,California,Placer,5086.0,4.0,5.5,14.0,58.0,122.0,4.0,3.7,4.5,6.0,110020.0,81.2,19.0,7.0,2.0,91.0,26.0,12.0,14.6,423561.0
06063,California,Plumas,8792.0,4.5,6.0,15.0,122.0,75.0,6.0,7.3,4.0,18.0,64121.0,78.2,29.0,14.0,,73.0,29.0,13.0,100.0,19131.0
06065,California,Riverside,7817.0,4.7,5.2,18.0,70.0,46.0,8.0,4.8,4.4,14.0,90251.0,77.8,32.0,9.0,5.0,92.0,34.0,12.0,5.5,2492442.0
06067,California,Sacramento,7616.0,4.4,5.8,19.0,73.0,89.0,5.0,4.4,4.5,14.0,89984.0,78.0,29.0,10.0,6.0,84.0,34.0,13.0,2.4,1584288.0
06069,California,San Benito,6316.0,4.6,5.5,18.0,63.0,27.0,7.0,6.0,3.7,11.0,105112.0,79.9,21.0,7.0,4.0,92.0,29.0,11.0,22.7,68175.0
06071,California,San Bernardino,9378.0,4.8,5.3,22.0,68.0,59.0,9.0,4.7,4.4,17.0,84576.0,75.4,24.0,12.0,8.0,86.0,35.0,13.0,5.4,2195611.0
06073,California,San Diego,5727.0,4.2,5.2,16.0,63.0,84.0,7.0,3.9,4.6,12.0,103476.0,80.3,28.0,7.0,3.0,85.0,25.0,10.0,4.4,3269973.0
06075,California,San Francisco,5634.0,3.6,5.0,13.0,87.0,164.0,4.0,3.3,,11.0,125456.0,82.4,63.0,5.0,5.0,50.0,18.0,9.0,0.0,808988.0
06077,California,San Joaquin,8730.0,4.8,5.3,20.0,73.0,59.0,8.0,6.2,4.5,16.0,86211.0,76.4,23.0,12.0,9.0,86.0,34.0,13.0,7.8,800965.0
06079,California,San Luis Obispo,6206.0,4.2,5.6,15.0,73.0,83.0,7.0,3.5,4.7,12.0,89809.0,80.7,34.0,9.0,2.0,93.0,28.0,11.0,19.1,281639.0
06081,California,San Mateo,4006.0,3.6,4.6,13.0,44.0,109.0,5.0,3.0,,7.0,151004.0,84.1,17.0,4.0,2.0,84.0,21.0,9.0,1.7,726353.0
06083,California,Santa Barbara,6123.0,4.4,5.7,17.0,66.0,77.0,9.0,4.1,4.8,17.0,90155.0,80.6,26.0,7.0,4.0,93.0,32.0,10.0,5.6,441257.0
06085,California,Santa Clara,4125.0,3.4,4.5,15.0,47.0,107.0,4.0,3.5,,7.0,154573.0,83.8,17.0,4.0,2.0,89.0,22.0,9.0,1.3,1877592.0
06087,California,Santa Cruz,5482.0,4.2,5.6,17.0,78.0,102.0,6.0,5.7,5.2,14.0,102723.0,81.8,29.0,6.0,3.0,87.0,29.0,12.0,13.3,261547.0
06089,California,Shasta,10558.0,4.6,6.1,16.0,116.0,78.0,7.0,5.1,4.9,16.0,71935.0,74.3,35.0,19.0,6.0,89.0,29.0,14.0,33.8,180366.0
06091,California,Sierra,,4.5,5.9,17.0,91.0,,6.0,4.7,6.6,15.0,67675.0,81.3,,,,,31.0,15.0,98.8,3200.0
06093,California,Siskiyou,13488.0,5.0,6.4,19.0,134.0,75.0,8.0,6.4,5.1,22.0,58975.0,73.1,39.0,19.0,7.0,88.0,33.0,16.0,70.9,42905.0
06095,California,Solano,7385.0,4.2,5.4,18.0,72.0,84.0,6.0,4.7,4.1,12.0,99117.0,78.8,25.0,12.0,8.0,89.0,33.0,13.0,4.5,449218.0
06097,California,Sonoma,5997.0,4.3,5.8,14.0,66.0,102.0,7.0,3.6,4.3,10.0,100157.0,80.6,29.0,8.0,2.0,88.0,28.0,11.0,13.6,481812.0
06099,California,Stanislaus,9309.0,4.9,5.9,20.0,71.0,65.0,7.0,6.4,4.2,16.0,81582.0,75.4,29.0,8.0,4.0,90.0,35.0,13.0,8.2,551430.0
06101,California,Sutter,8213.0,4.8,5.8,23.0,78.0,76.0,9.0,7.8,4.4,19.0,71968.0,77.3,31.0,10.0,5.0,86.0,32.0,16.0,15.1,97948.0
06103,California,Tehama,11336.0,5.0,6.3,21.0,118.0,53.0,7.0,5.8,4.5,21.0,58333.0,74.3,30.0,20.0,7.0,93.0,33.0,17.0,57.0,64896.0
06105,California,Trinity,12354.0,5.2,6.5,20.0,181.0,19.0,6.0,5.7,4.8,30.0,52079.0,77.0,25.0,30.0,,71.0,32.0,17.0,100.0,15670.0
06107,California,Tulare,9206.0,5.1,5.6,26.0,66.0,46.0,9.0,10.0,4.3,23.0,71368.0,75.5,19.0,10.0,8.0,87.0,38.0,15.0,20.1,479468.0
06109,California,Tuolumne,9372.0,4.5,5.8,16.0,101.0,63.0,6.0,5.0,4.3,14.0,72329.0,76.4,29.0,12.0,3.0,91.0,31.0,13.0,47.8,54204.0
06111,California,Ventura,5626.0,4.4,5.6,18.0,62.0,81.0,8.0,4.3,4.4,13.0,106526.0,80.7,28.0,7.0,3.0,86.0,29.0,11.0,3.4,829590.0
06113,California,Yolo,5728.0,4.4,5.8,19.0,51.0,124.0,6.0,4.7,5.9,12.0,91192.0,79.9,17.0,6.0,3.0,92.0,29.0,13.0,8.0,220544.0
06115,California,Yuba,9988.0,5.2,6.3,21.0,90.0,20.0,7.0,6.7,4.7,20.0,71493.0,75.1,33.0,14.0,7.0,85.0,33.0,16.0,29.5,85722.0
09001,Connecticut,Fairfield,5172.0,,,,61.0,92.0,,3.9,,,,81.2,,,,90.0,,,,
09003,Connecticut,Hartford,7218.0,,,,87.0,95.0,,3.8,,,,78.3,,,,89.0,,,,
09005,Connecticut,Litchfield,6767.0,,,,93.0,55.0,,3.4,,,,79.1,,,,89.0,,,,
09007,Connecticut,Middlesex,5773.0,,,,82.0,78.0,,3.2,,,,80.4,,,,95.0,,,,
09009,Connecticut,New Haven,7774.0,,,,97.0,85.0,,3.9,,,,78.0,,,,87.0,,,,
09011,Connecticut,New London,7673.0,,,,97.0,60.0,,3.6,,,,78.1,,,,90.0,,,,
09013,Connecticut,Tolland,5837.0,,,,64.0,49.0,,3.3,,,,80.2,,,,93.0,,,,
09015,Connecticut,Windham,7901.0,,,,98.0,43.0,,3.9,,,,77.2,,,,83.0,,,,
09110,Connecticut,Capitol,,4.0,5.4,15.0,,,6.0,,5.0,12.0,90965.0,,38.0,6.0,4.0,,32.0,12.0,12.0,975328.0
09120,Connecticut,Greater Bridgeport,,3.9,5.1,17.0,,,8.0,,6.2,14.0,92858.0,,36.0,6.0,5.0,,29.0,13.0,2.9,327651.0
09130,Connecticut,Lower Connecticut River Valley,,3.7,5.3,12.0,,,4.0,,4.4,8.0,99807.0,,30.0,6.0,1.0,,31.0,12.0,31.3,176215.0
09140,Connecticut,Naugatuck Valley,,4.2,5.5,16.0,,,6.0,,4.9,17.0,81392.0,,52.0,7.0,4.0,,31.0,14.0,9.2,456128.0
09150,Connecticut,Northeastern Connecticut,,4.4,5.8,15.0,,,5.0,,3.7,11.0,88129.0,,30.0,6.0,,,33.0,15.0,62.4,96692.0
09160,Connecticut,Northwest Hills,,3.9,5.5,14.0,,,6.0,,4.4,10.0,91206.0,,39.0,6.0,,,31.0,13.0,60.0,113463.0
09170,Connecticut,South Central Connecticut,,4.2,5.5,16.0,,,6.0,,5.3,17.0,80953.0,,51.0,7.0,4.0,,32.0,13.0,3.6,568158.0
09180,Connecticut,Southeastern Connecticut,,4.3,5.5,16.0,,,6.0,,4.7,17.0,82733.0,,52.0,5.0,2.0,,33.0,14.0,26.1,279634.0
09190,Connecticut,Western Connecticut,,3.4,4.7,13.0,,,7.0,,,9.0,121285.0,,17.0,3.0,2.0,,27.0,10.0,8.5,623907.0
13001,Georgia,Appling,14664.0,5.4,6.1,22.0,91.0,43.0,19.0,3.4,5.0,34.0,51054.0,71.5,20.0,11.0,,92.0,41.0,19.0,71.0,18457.0
13003,Georgia,Atkinson,15714.0,6.0,6.1,28.0,113.0,,21.0,3.1,3.3,34.0,44890.0,69.1,,,,98.0,42.0,20.0,100.0,8293.0
13005,Georgia,Bacon,16179.0,5.2,6.2,24.0,93.0,45.0,17.0,2.9,5.3,31.0,48915.0,69.5,30.0,18.0,,93.0,41.0,22.0,100.0,11124.0
13007,Georgia,Baker,17337.0,5.2,5.9,24.0,109.0,,11.0,3.8,9.1,39.0,47850.0,71.8,,,,,42.0,17.0,100.0,2743.0
13009,Georgia,Baldwin,12279.0,4.6,5.7,22.0,75.0,43.0,15.0,4.2,5.5,29.0,51206.0,72.7,15.0,20.0,15.0,88.0,40.0,18.0,48.8,43396.0
13011,Georgia,Banks,10880.0,4.7,5.7,23.0,94.0,16.0,18.0,2.2,5.0,17.0,70067.0,73.9,30.0,17.0,,84.0,37.0,22.0,95.6,19789.0
13013,Georgia,Barrow,9299.0,4.2,5.6,18.0,86.0,22.0,16.0,2.8,3.6,16.0,72075.0,74.9,28.0,17.0,6.0,89.0,40.0,14.0,33.0,92792.0
13015,Georgia,Bartow,10527.0,4.5,5.4,19.0,91.0,37.0,16.0,3.1,4.0,13.0,78771.0,73.9,37.0,17.0,5.0,93.0,38.0,15.0,39.4,115041.0
13017,Georgia,Ben Hill,15005.0,5.5,6.1,28.0,106.0,47.0,15.0,4.3,5.7,35.0,40325.0,69.7,20.0,20.0,9.0,83.0,42.0,23.0,34.4,17128.0
13019,Georgia,Berrien,14035.0,5.2,5.9,23.0,106.0,22.0,15.0,3.7,5.9,28.0,50581.0,71.2,36.0,17.0,8.0,83.0,39.0,20.0,73.3,18570.0
13021,Georgia,Bibb,14812.0,4.9,5.9,23.0,105.0,140.0,16.0,4.0,6.5,32.0,51569.0,70.6,18.0,35.0,24.0,82.0,49.0,18.0,14.1,156512.0
13023,Georgia,Bleckley,12846.0,4.8,5.8,20.0,82.0,24.0,12.0,4.2,6.0,27.0,58877.0,72.2,,16.0,,98.0,42.0,17.0,51.1,12465.0
13025,Georgia,Brantley,14472.0,5.4,6.2,22.0,97.0,17.0,18.0,3.5,6.0,26.0,57325.0,71.5,36.0,19.0,,89.0,39.0,21.0,99.3,18401.0
13027,Georgia,Brooks,10488.0,5.4,6.2,27.0,96.0,18.0,15.0,3.4,5.4,36.0,46796.0,73.9,,22.0,,98.0,42.0,21.0,100.0,16245.0
13029,Georgia,Bryan,9532.0,3.8,5.2,15.0,82.0,55.0,11.0,2.6,3.4,9.0,97746.0,74.9,19.0,22.0,5.0,93.0,37.0,14.0,46.8,49739.0
13031,Georgia,Bulloch,9168.0,4.6,5.4,19.0,59.0,56.0,14.0,3.4,5.0,23.0,54787.0,75.3,9.0,14.0,6.0,85.0,39.0,16.0,45.1,84327.0
13033,Georgia,Burke,12349.0,4.9,5.9,23.0,97.0,33.0,12.0,5.5,6.3,31.0,51388.0,73.0,20.0,21.0,14.0,85.0,45.0,19.0,75.2,24438.0
13035,Georgia,Butts,12208.0,4.7,5.7,21.0,121.0,27.0,14.0,2.9,4.5,20.0,59622.0,71.9,32.0,23.0,10.0,93.0,40.0,19.0,77.6,26887.0
13037,Georgia,Calhoun,11948.0,5.3,5.7,31.0,61.0,18.0,15.0,2.8,5.6,40.0,41260.0,73.6,,,,,47.0,24.0,100.0,5457.0
13039,Georgia,Camden,8626.0,4.5,5.5,20.0,68.0,27.0,12.0,3.0,4.2,14.0,72185.0,76.5,25.0,18.0,3.0,94.0,38.0,18.0,29.6,58118.0
13043,Georgia,Candler,18173.0,5.4,6.1,27.0,113.0,18.0,20.0,2.5,5.2,31.0,49332.0,67.8,,26.0,,,44.0,22.0,100.0,11059.0
13045,Georgia,Carroll,11392.0,4.7,5.7,18.0,94.0,51.0,14.0,3.3,4.6,18.0,71083.0,73.0,36.0,15.0,4.0,93.0,37.0,15.0,54.4,127098.0
13047,Georgia,Catoosa,9551.0,4.2,5.6,16.0,74.0,57.0,12.0,2.7,3.9,15.0,70315.0,75.3,30.0,16.0,2.0,89.0,37.0,14.0,23.7,68910.0
13049,Georgia,Charlton,11365.0,5.1,5.7,25.0,92.0,23.0,16.0,3.1,5.2,29.0,52191.0,73.5,,24.0,11.0,98.0,42.0,21.0,100.0,12934.0
13051,Georgia,Chatham,10235.0,3.8,5.0,17.0,83.0,93.0,14.0,2.9,4.5,22.0,70556.0,75.6,26.0,20.0,13.0,88.0,36.0,14.0,3.0,303655.0
13053,Georgia,Chattahoochee,9997.0,4.9,5.6,23.0,68.0,166.0,8.0,4.5,3.6,17.0,57550.0,75.4,,,,98.0,43.0,18.0,40.1,8661.0
13055,Georgia,Chattooga,14488.0,5.4,6.4,24.0,117.0,8.0,17.0,3.7,4.1,29.0,51225.0,70.6,35.0,19.0,7.0,94.0,39.0,21.0,59.0,25222.0
13057,Georgia,Cherokee,5753.0,3.9,5.0,16.0,60.0,41.0,13.0,2.6,3.7,7.0,104220.0,79.4,20.0,11.0,3.0,92.0,35.0,13.0,18.3,286602.0
13059,Georgia,Clarke,8073.0,4.7,6.1,21.0,59.0,82.0,15.0,3.3,5.7,25.0,54550.0,77.3,21.0,13.0,5.0,32.0,37.0,15.0,5.9,129933.0
13061,Georgia,Clay,16381.0,5.1,6.0,23.0,119.0,35.0,14.0,7.8,3.6,39.0,37858.0,72.6,,,,,45.0,17.0,100.0,2853.0
13063,Georgia,Clayton,11266.0,4.8,5.9,25.0,78.0,25.0,15.0,4.1,4.0,27.0,57974.0,73.8,18.0,25.0,18.0,78.0,45.0,18.0,0.5,298300.0
13065,Georgia,Clinch,14491.0,5.9,6.4,28.0,93.0,15.0,18.0,2.8,6.2,28.0,45718.0,69.8,,,,88.0,45.0,23.0,100.0,6746.0
13067,Georgia,Cobb,6458.0,3.5,5.0,13.0,63.0,78.0,13.0,2.8,4.3,12.0,99134.0,79.1,23.0,11.0,5.0,87.0,29.0,10.0,0.0,776743.0
13069,Georgia,Coffee,12805.0,5.2,5.8,24.0,91.0,53.0,19.0,3.6,5.2,30.0,49804.0,71.6,12.0,21.0,11.0,93.0,41.0,21.0,66.9,43317.0
13071,Georgia,Colquitt,13173.0,5.2,5.9,27.0,92.0,37.0,20.0,2.8,5.8,35.0,47821.0,71.6,14.0,18.0,10.0,87.0,40.0,22.0,58.1,46167.0
13073,Georgia,Columbia,7070.0,3.8,5.1,17.0,62.0,105.0,10.0,3.0,3.9,8.0,97031.0,78.4,21.0,13.0,3.0,90.0,36.0,15.0,14.9,165162.0
13075,Georgia,Cook,13071.0,5.3,5.9,25.0,98.0,52.0,17.0,3.2,5.3,29.0,50258.0,71.8,,24.0,11.0,98.0,41.0,20.0,59.2,17714.0
13077,Georgia,Coweta,8324.0,4.0,5.4,16.0,68.0,45.0,11.0,2.9,3.9,12.0,93326.0,76.4,18.0,17.0,5.0,90.0,44.0,14.0,44.9,155892.0
13079,Georgia,Crawford,13688.0,4.8,5.7,20.0,113.0,16.0,16.0,3.2,4.8,25.0,61519.0,71.7,,23.0,,83.0,41.0,19.0,100.0,12277.0
13081,Georgia,Crisp,16331.0,5.3,6.1,23.0,99.0,70.0,14.0,3.7,6.0,40.0,43174.0,70.1,26.0,26.0,15.0,83.0,45.0,19.0,45.7,19631.0
13083,Georgia,Dade,11895.0,4.4,5.8,17.0,75.0,31.0,14.0,2.6,4.1,16.0,58644.0,73.0,35.0,,,93.0,36.0,16.0,94.6,16165.0
13085,Georgia,Dawson,8319.0,4.0,5.1,15.0,92.0,67.0,14.0,2.6,3.8,12.0,89330.0,76.9,24.0,21.0,,93.0,35.0,12.0,69.4,31732.0
13087,Georgia,Decatur,14703.0,5.3,6.1,24.0,92.0,34.0,14.0,3.4,6.0,31.0,50452.0,71.0,20.0,24.0,13.0,90.0,40.0,18.0,52.8,29087.0
13089,Georgia,DeKalb,8477.0,3.8,5.3,18.0,74.0,106.0,14.0,3.3,5.0,18.0,77722.0,78.2,19.0,23.0,16.0,76.0,34.0,13.0,0.2,762992.0
13091,Georgia,Dodge,13999.0,4.9,5.8,21.0,106.0,30.0,14.0,3.8,5.5,30.0,46462.0,71.3,33.0,24.0,11.0,88.0,45.0,18.0,68.8,19776.0
13093,Georgia,Dooly,13389.0,4.9,5.8,24.0,83.0,9.0,15.0,3.8,5.2,32.0,50396.0,73.2,,24.0,12.0,88.0,44.0,19.0,100.0,10981.0
